"Unnamed..0","EJ.1.A","EJ.1.B","EJ.1.C","Total.E1","EJ.2.A","EJ.2.B","EJ.2.C","EJ.2D","EJ.2E","EJ.2F","Total.E2","Puntaje.total","HW3_grade","answer_1_c","AI","favorable","HW_1","HW_2","HW_3","Midterm_25","Midterm_25.1","Exam_35","Final_grade","Final_grade_excluding_HW_3","average_grade","had_pair","df_fe","numb_tokes","jaccard_similarity"
39,10,5,10,25,10,"10","10",10,10,10,"60","85","6,7","Creo que la política de cuotas en las universidades públicas brasileñas van a afectar negativamente al comportamiento elitista de los empleadores. Esto debido a que, como pudimos ver tanto en el histograma como en la prueba t, el promedio de las notas de corte de los alumnos de alta competencia es mayor que el promedio de las notas de corte de los alumnos con cuotas. Lo que permite pensar justificadamente, que aquellos alumnos que entraron a la universidad por medio de las políticas de cuotas por poseer determinadas características étnicas, físicas o socioeconómicas, necesitaron un menor rendimiento para aprobar el examen de admisión ""Vestibular"". Y todo ello, incrementará la discriminación a estos grupos específicos pues para adquirir su educación superior necesitaron de un menor puntaje que el resto de jóvenes de la misma generación; Una diferencia de rendimiento bastante significativa según los resultados interpretados en la prueba t de la pregunta b), una diferencia de rendimiento que puede hacer que se menosprecien sus capacidades, y, por lo tanto se subestime su rendimiento futuro en su respectivo empleo.",37,0,6.7,1,6.7,4,NA,5,4.7,65.93984962,65.93984962,1,"df2",194,1.5
12,10,10,7,27,10,"6","10",10,10,10,"56","83","6,5","Basado en los resultados anteriores, tenemos que existe una diferencia notable en la nota de corte entre los alumnos de alta competencia y los alumnos con cuotas, lo cual permite una mayor posibilidad a estos últimos para ingresar a mejores universidades.
• El impacto en el comportamiento elitista por parte de los empleadores:
– La política de cuotas podría impactar reduciendo el comportamiento elitista en el mercado laboral, al dar a los estudiantes de escuelas públicas una mayor oportunidad de acceder a la educación superior. Esto puede cambiar las percepciones y valoraciones de los empleadores sobre los candidatos que provienen de estas instituciones, enfocándose más en sus logros académicos y habilidades profesionales en lugar de su origen escolar.
• El impacto en la discriminación contra negros y de pueblos indígenas en el proceso de contratación:
– Al reservar cupos específicamente para estudiantes negros e indígenas, permite aumentar la presencia de estos grupos en la educación superior. Esto no solo mejora sus oportunidades de empleo, sino que también puede contribuir a cambiar actitudes negativas y reducir prejuicios en el lugar de trabajo, fomentando asi una cultura más inclusiva y diversa.",78,1,6.7,6.7,6.5,3.8,4.9,6.65,5.5,77.78195489,77.78195489,1,"df1",215,6
29,10,5,7,22,5,"6","10",5,10,10,"46","68","5,5","En primer lugar, podemos destacar que a medida que más estudiantes de diferentes antecedentes acceden a las universidades públicas, el prejuicio de que solo los estudiantes de escuelas privadas y de prestigio pueden ofrecer un mejor desempeño puede comenzar a cambiar. Esto puede llevar a que los empleadores valoren más la calidad de la educación superior obtenida, en lugar de enfocarse en la escuela secundaria de origen del candidato. De esta forma, existiría una mayor competencia basada en mérito: Con una mayor diversidad de estudiantes provenientes de diferentes orígenes que acceden a la educación superior de calidad, los empleadores podrían comenzar a valorar más las habilidades y competencias adquiridas en la universidad que el origen escolar. Esto puede reducir el enfoque en la procedencia socioeconómica de los candidatos. 
En cuanto a la discriminación contra los negros y los pueblos indígenas en el proceso de contratación, podemos ver que estas medidas por parte del gobierno brasileño, por ejemplo al aumentar las cotas de acceso a la educación aumenta su visibilidad y representación en el ámbito educativo y, posteriormente, en el mercado laboral. Esta mayor visibilidad puede desafiar y reducir los estereotipos y prejuicios que llevan a la discriminación. 
También a medida que más estudiantes de estos grupos se gradúan y acceden a puestos profesionales, se crean modelos a seguir que pueden inspirar a las generaciones futuras y demostrar que las habilidades y el talento no están limitados por el origen étnico o socioeconómico. 
Y finalmente, destacar una diversidad mayor en el entorno laboral puede fomentar una cultura organizacional más inclusiva, donde se valora la diversidad de pensamiento y experiencia. Esto puede reducir la discriminación y fomentar un ambiente de trabajo más justo y equitativo. ",100,1,6.7,7,5.5,3.7,5.4,4.8,4.9,69.77443609,69.77443609,1,"df1",395,1.5
15,10,5,7,22,3,"5","2",6,10,10,"36","58","4,9","La política de cuotas en las universidades públicas brasileñas puede tener un impacto significativo en cómo los empleadores evalúan a los candidatos y en la discriminación contra grupos marginados en el proceso de contratación. 

Primero, al priorizar el acceso a la educación superior para estudiantes de escuelas públicas y grupos étnicos como negros e indígenas, las cuotas desafían la tendencia actual donde se da preferencia a estudiantes de escuelas particulares prestigiosas en los procesos de contratación. Esto podría cambiar la percepción de los empleadores sobre la relevancia del colegio de origen como señal de capacidad y potencial del candidato.

Además, al enfocarse en los logros académicos y la formación universitaria obtenida a través de cuotas, se puede fomentar una evaluación más objetiva y basada en el mérito. Esto podría reducir la discriminación sistémica al proporcionar oportunidades equitativas para todos los graduados universitarios, independientemente de su trasfondo socioeconómico o étnico.

En términos prácticos, la implementación de cuotas puede promover un cambio cultural hacia un entorno laboral más inclusivo y justo. Al aumentar la diversidad en la educación superior y posteriormente en la fuerza laboral, las políticas de cuotas pueden contribuir a una mayor sensibilidad hacia la equidad y la diversidad en las decisiones de contratación.

En conclusión, las cuotas en las universidades públicas brasileñas tienen el potencial de desafiar el comportamiento elitista en las entrevistas de trabajo y de reducir la discriminación contra grupos históricamente marginados. Al priorizar la educación superior como criterio principal de evaluación, estas políticas pueden promover un mercado laboral más equitativo y meritocrático en Brasil.",100,1,6.9,6.1,4.9,3.4,4.3,5.1,4.6,65.56390977,65.56390977,1,"df2",284,4
311,0,0,0,0,0,"0","0",0,0,0,"0","0","1,0","Si bien la política de cuotas implementada en las universidades públicas brasileñas tiene el objetivo de promover la equidad y proporcionar más oportunidades educativas a grupos históricamente marginados. La política basada en cuotas implementada por Brasil tambien sí podria afectar negativamente la discriminacion contra los negros y Pueblos indigenas en el proceso de contratacion. En primer lugar esto puede actuar como una señalización negativa para los empleados ya que estos podrían asumir y sacar las conclusiones de que ellos no tuvieron que atravesar los mismos estándares académicos que los de amplia competencia para poder ser admitidos.Esto se traduce en una percepción negativa por parte de los empleadores generando perjuicios que su trabajo fue facilitado y no por sus propios méritos concluyendo que estos son menos calificados independientemente de sus habilidades y desempeño real. Por lo tanto al presentarse una persona que pertenezca a uno de estos dos grupos, el contratante inmediatamente generará una discriminacion negativa contra ellos ya que estos obtuvieron privilegio en la educación superior por medio de cuotas aunque este aun así sea un muy buen candidato con muchos estudios de por medio. Esto estaría aumentando aún más la discriminacion a estos grupos fuera de su origen etnico. También podemos ver que si Brasil al igual que Chile también tiene una preferencia por candidatos de colegios particulares con más prestigios fijándose en su procedencia educativa, esta política podría aumentar esta tendencia los empleadores podrían preferir candidatos provenientes de un entorno educativo con mayores oportunidades por lo tanto personas que no tengan la necesidad de acceder a cuotas. Por lo tanto esta política por más que tenga un fin positivo de promover la igualdad sin quererlo puede traer consecuencias negativas aumentando la discriminacion y los comportamientos elitistas en la contratación hacia estos grupos. ",0,0,6.5,6.7,1,3.8,4.4,4.1,4.2,62.33082707,62.33082707,1,"df2",393,0.5
551,10,5,7,22,4,"6","10",10,10,10,"50","72","5,8","La implementación de estas políticas en las universidades brasileñas influyen en gran medida el comportamiento de los empleadores y en la discriminación contra ciertos grupos marginados, esto se debe a las siguientes razones:

- Cambio en la percepción de los empleadores: Al reducir la brecha en la calidad de la educación entre estudiantes de distintos niveles socioeconómicos, los empleadores pueden empezar a valorar más la calidad de la universidad y el rendimiento académico en lugar de el colegio del que salieron. Por otro lado, las políticas de cuotas promueven la diversidad y meritocracia. Los empleadores pueden ver a los graduados con cuotas como estudiantes que superaron varios obstáculos, lo que puede ser una señal positiva.

- Impacto en la discriminación: Al aumentar el número de graduados de estos grupos históricamente marginados, se incrementa su visibilidad en el mercado laboral, lo que permite que los empleadores se familiaricen más con estos grupos. Por otra parte, al garantizar que una proporción de los estudiantes de buenas universidades provengan de entornos diversos, esto ayudará a desmantelar las prácticas elitistas en la contratación, donde el colegio puede haber sido usado como un filtro socioeconómico implícito.",100,1,6.6,6.7,5.8,4.4,6,5.9,5.6,80.15037594,80.15037594,0,"df2",212,4.5
201,10,10,10,30,7,"7","10",10,8,10,"52","82","6,5","Ya que existe un valor-p igual a 0 podemos concluir que existe evidencia estadística significativa para afirmar que la nota de corte promedia es estadísticamente superior para los alumnos de amplia competencia.

De este modo podemos entender que para alumnos de amplia competencia es más difícil acceder a la educación superior frente a los que tienen cuotas reservadas ya que las notas de corte son más altas para ellos. 

Esta estrategia otorga una ventaja de acceso a educación superior para alumnos procedentes de escuelas públicas, alumnos negros y alumnos indígenas. Sin embargo, el comportamiento elitista de los empleadores de discriminar la empleabilidad considerando el colegio en el que estudiaron los postulantes a un trabajo podría representar una amenaza al propósito de la estrategia de cuotas reservadas, ya que el esfuerzo generado en facilitar el acceso a educación superior a estos segmentos de personas sería en vano. Los empleadores categorizarían la calidad del empleado por señales que dictan previas a su educación superior. Es decir, obtener el grado no representaría una señal de alta productividad, alta calificación u otro rasgo de calidad superior.",100,0,7,6.9,6.5,3.2,4.6,4.9,4.7,65.56390977,65.56390977,1,"df2",199,2.5
321,0,0,0,0,0,"0","0",0,0,0,"0","0","1,0","Dado que las notas de corte de los estudiantes afrodescendientes y de pueblos indígenas suelen ser más bajas en comparación con aquellos que ingresan por alta competencia, es probable que la política de cuotas aumente la discriminación hacia los egresados de escuelas públicas y socave la percepción de calidad de la educación superior al disminuir el mérito asociado con el ingreso a una universidad pública. Esta situación podría llevar a los empleadores brasileños a adoptar un comportamiento elitista similar al observado en Chile, aumentando la discriminación contra las personas de color e indígenas protegiéndose así de una posible distorsión en la señal educativa. Inicialmente, la política pública disminuye la brecha social y la desigualdad entre clases socioeconómicas, pero podría aumentar la discriminación laboral. Empeorando la posibilidad de ser contratado para grupos minoritarios.",51,0,6.3,6.8,1,4,4.6,5.9,4.9,73.23308271,73.23308271,1,"df2",140,1.5
18,10,5,10,25,8,"7","10",7,10,9,"51","76","6,1","Analizando los resultados obtenidos anteriormente, los de amplia competencia tienen una nota corte promedio mas alta que los estudiantes de las cuotas, por lo que esto refleja un acceso diferencial a la educación superior entre diferentes grupos socieconomicos y ectnicos, en Brasil. Esto podría afectar el comportamiento de los empleadores hacia uno mas elitista, si medimos la señal de educacion como en el item anterior, va a provocar discriminación de todas formas porque la señal indica que el proceso de selección para los dos tipos de alumnos fue diferente generando que se prefiera uno por sobre otro y no logrando el objetivo con ese mecanismo de selección. Es por esto que podría haber discriminacion racial en el proceso de contratación, al estar la señal sesgada, la selección no es imparcial en terminos de evaluación de candidatos porque saben que las condiciones de selección en primero lugar ya fueron diferentes para ellos, con menor rendimiento, lo cual puede provocar una futura no contratación. ",34,0,6.7,6.9,6.1,3.6,5.4,4.8,4.9,69.32330827,69.32330827,1,"df2",216,0
41,0,3,10,13,4,"5","10",7,10,8,"44","57","4,8","Como se le exige menos para entrar a una universidad a los alumnos que esten en las cuotas, al entrar a una universidad va a tener menos una menor cuota de esfuerzo o merito una persona que este en las cuotas en comparación a otra que no lo este, esto afecta a la señal de discriminación porque la señal de educación superior va a ser peor para medir capacidades por igual, esto va a conllevar a que haya más discriminación en las entrevistas de trabajo para poder contrarrestar estas diferencias de capacidades que el proceso de admisión para la universidad paso por alto. Por lo que aunque la universidad tenga diferentes exigencias para estos grupos, al final las entrevistas de trabajo van a tener que hacer esta discriminación, ya que a un grupo le exigieron menos que al otro. Su forma de discriminar debería ser por las razas, porque si se presenta una persona con descendencia indígena o negro a esta persona se le debería hacer una entrevista más difícil que a una persona que no se le dieron los beneficios para entrar a una universidad, de esta manera estarían viendo si los dos candidatos tienen las mismas cualidades aunque hayan sido exigidos de distinta manera al entrar a la universidad, por lo que aunque se cree este sistema de cuotas de igual manera se hará una discriminación al momento de aplicar para un trabajo.",0,0,6.6,5.1,4.8,3.4,4.3,4.4,4.3,60.90225564,60.90225564,0,"df1",246,0.5
24,10,5,7,22,5,"3","5",7,10,10,"40","62","5,1","Las políticas de cuotas en las universidades públicas brasileñas, cuyo objetivo es aumentar la representación de estudiantes de grupos desfavorecidos como personas de color, de origen indígena o de bajos ingresos, podrían ayudar a mitigar el comportamiento discriminador en el mercado laboral demostrando que los estudiantes de los grupos desfavorecidos mencionados pueden tener un alto rendimiento académico.

Para dar a estos estudiantes acceso a universidades de calidad, las políticas de matrícula podrían reducir la discriminación en el proceso de solicitud, puesto que los empleadores comienzan a prestar más atención a los títulos universitarios que a los orígenes o factores como el colegio donde el postulante estudió, reduciendo así la discriminación basada en circunstancias socioeconómicas y étnicas.

Por lo que esta política tiene el potencial de volver menos elitista el mercado laboral brasileño.",43,1,6.8,6.9,5.1,NA,4.6,5.3,5.3,75.41353383,75.41353383,1,"df1",145,2.5
44,10,5,7,22,10,"7","8",7,10,10,"52","74","5,9","La política de cuotas en las universidades públicas de Brasil tiene el potencial de reducir el elitismo de los empleadores y la discriminación contra negros e indígenas al diversificar el acceso a la educación superior. Al permitir que estudiantes de diversos orígenes socioeconómicos y étnicos accedan a universidades de prestigio, se fomenta que los empleadores valoren más la calidad educativa que la procedencia escolar, disminuyendo así el sesgo hacia alumnos de escuelas caras y prestigiosas. Esta mayor diversidad de graduados en el mercado laboral puede demostrar que los estudiantes de políticas de cuotas son igualmente competentes, lo que ayuda a cambiar percepciones y a reducir prejuicios. Aunque los resultados muestran que los estudiantes sin cuota tienen un promedio de notas de corte más alto, la presencia de estudiantes con cuota en universidades prestigiosas evidencia su capacidad académica y profesional. Esto promueve la igualdad de oportunidades y desafía el elitismo en el proceso de contratación, contribuyendo a un mercado laboral más justo e inclusivo. ",100,1,6.7,6.8,5.9,4.3,4,5.2,4.9,68.72180451,68.72180451,0,"df2",220,3.5
45,10,5,7,22,10,"8","10",10,10,10,"58","80","6,3","La política de cuotas puede tener distintos impactos, donde algunos podrían ser:
- Si se garantiza que mas estudiantes de grupos mas minoritarios y bajos ingresos puedan acceder a educación superior, cuotas podrían ayudar a mitigar la discriminación contra esos grupos en el mercado laboral, así los empleadores tendrían mas posibilidades de contratar a personas de estos grupos ya que habría un mayor numero de graduados calificados.
- Presencia de cuotas, si es exitosa, puede actuar como señal para empleadores de que graduados en universidades publicas son capaces de hacer la labores.
- Aumentar el numero de estudiantes con menos recursos en universidades de mas prestigio puede elevar la competencia entre estudiantes, lo que podría llevar a un aumento de calidad de los graduados beneficiando a empleadores como al mercado laboral en conjunto.
- Respecto a la discriminación, al existir mas personas negras e indígenas en buenas posiciones académicas se normaliza la diversidad en el ámbito educativo y continuándolo hacia el lugar de trabajo, lo que puede impulsar a que otros grupos los usen como modelo a seguir para aspirar a metas profesionales y educativas mas altas.",100,1,6.4,6.5,6.3,4.6,5.8,6,5.7,80.37593985,80.37593985,0,"df2",204,1.5
571,10,5,7,22,10,"6","10",7,10,10,"53","75","6,0","Las medidas de admisión en las universidades públicas de Brasil, con el objetivo de
aumentar la presencia de alumnos de comunidades marginadas como indígenas,
personas de escasos recursos y afrodescendientes, pueden ayudar a disminuir la
discriminación en el ámbito laboral. Al brindarles a estos estudiantes la posibilidad de
acceder a una educación de excelencia, se les está mostrando que son capaces de
lograr un rendimiento académico sobresaliente, lo que podría cuestionar y modificar
las percepciones discriminatorias vigentes.

Estas reglas de ingreso podrían ser clave para disminuir la discriminación en la
postulación para un trabajo. Si los empleadores se centraran más en los títulos
universitarios que en el origen socioeconómico o el tipo de escuela del candidato,
podrían reducir la discriminación por motivos socioeconómicos y étnicos. De esta
manera, las políticas de cupos no solo permiten el acceso a la educación superior para
estos grupos, sino que también pueden contribuir a la democratización del mercado
laboral en Brasil. Promoviendo un ambiente en el que se valore principalmente el
mérito académico, se puede ayudar de manera importante a crear una sociedad más
igualitaria y justa.",100,1,6.7,6.8,6,4,4.5,5.3,5,70,70,1,"df2",214,3
59,10,5,7,22,5,"8","10",10,10,10,"53","75","6,0","Las políticas de cuotas incrementan el acceso de estudiantes talentosos de entornos pobres a universidades de alta calidad. Esto permite que más estudiantes de diversas procedencias ingresen a universidades prestigiosas, disminuyendo así la relevancia del colegio de procedencia como una señal de calidad. Los diplomas de universidades prestigiosas se convierten en una señal más creíble de la calidad del candidato, independientemente de su colegio de origen. Estoprovoca una cambio en la perspectiva que tienen los empleadores sobre la relevancia del colegio, ahoracomienzan a valorar más la calidad de la educación superior que el colegio de procedencia, ayudando a reducir los sesgos y las prácticas elitistas que discriminan a la gente mas pobre. El éxito académico y profesional de los estudiantes beneficiados por cuotas demuestra que el colegio de origen no es un buen indicador de habilidad, eliminando los prejuicios existentes de los empleadores elitistas como los de Chile. Tambien, las políticas de cuotas empoderan a los grupos marginados, permitiendo que más negros, mulatos e indígenas accedan a oportunidadesde educacion y trabajo de alta calidad. La visibilidad y el éxito de estos estudiantes en el mercado laboral ayudan a desafiar estereotipos y prejuicios, promoviendo una cultura más inclusiva.",100,1,5.5,6.9,6,4.5,4.6,4.35,4.7,66.42857143,66.42857143,1,"df1",213,4
55,5,5,7,17,3,"3","8",7,10,10,"41","58","4,9","La implementación de la política de cuotas en las universidades públicas
brasileñas tiene varias implicaciones para el comportamiento de los empleadores y
la discriminación en el proceso de contratación. Basándonos en los resultados
obtenidos en los incisos a) y b), podemos observar que las notas de corte para los alumnos con cuotas son generalmente inferiores a las de los alumnos de amplia
competencia. Esta diferencia es estadísticamente significativa, como lo demuestra
la prueba t de muestras pareadas.

La política de cuotas permite que un mayor número de estudiantes de contextos
socioeconómicos desfavorecidos, incluidos negros, mulatos e indígenas, accedan
a universidades públicas de alta calidad. Este acceso puede ayudar a reducir el
elitismo en las decisiones de contratación, ya que más estudiantes de escuelas
públicas tendrán la oportunidad de obtener títulos de instituciones prestigiosas.
Con una mayor diversidad en las universidades, los empleadores pueden
comenzar a valorar más la calidad de la educación superior recibida que el colegio
de origen del candidato, promoviendo una percepción más meritocrática basada
en el rendimiento académico universitario.

Además, al permitir que más estudiantes negros e indígenas accedan a
universidades de prestigio, la política de cuotas puede contribuir a reducir la
discriminación en el mercado laboral. Estos grupos podrán demostrar su
capacidad y competencia al tener títulos de instituciones reconocidas, lo que
puede cambiar las percepciones sociales sobre su talento. En consecuencia, la
discriminación en el proceso de contratación podría disminuir, mejorando la
inclusión y la equidad en el mercado laboral brasileño.

En conclusión, la política de cuotas en las universidades públicas brasileñas tiene
el potencial de disminuir el comportamiento elitista de los empleadores y reducir la
discriminación contra negros e indígenas en el proceso de contratación. Al
diversificar el perfil de los graduados y promover una percepción más justa y
basada en el mérito, esta política puede contribuir significativamente a la igualdad
de oportunidades en el mercado laboral.",100,1,5.6,6.5,4.9,3.8,4.8,5.9,5.1,72.48120301,72.48120301,1,"df1",371,4.5
421,10,5,7,22,10,"9","10",7,10,10,"56","78","6,2","Antes de la política de cuotas la educación universitaria pública de alta calidad se consideraba algo privilegiado y al alcance de solo aquellos alumnos que habían tenido una educación privada, lo que contribuía a mantener una percepción elitista de la educación superior. La política de cuotas permite que un gran número de alumnos de escuelas públicas y de minorías accedan a una educación superior de prestigio. Esto ayuda a que los entrevistadores tengan candidatos de muchos colegios diferentes pero con la misma educación universitaria aplicando al mismo puesto de trabajo. A medida que estos estudiantes, de diferentes contextos, se gradúan y entran al mercado laboral, los empleadores se encuentran con un grupo más diverso de candidatos bien calificados, lo que debería disminuir fuertemente la discriminación contra estos grupos en el proceso de contratación. Gracias a esta política ya no se puede contratar a alguien de un colegio privado y saber que su desempeño será mejor que un alumno de un colegio público ya que ambos pueden haber asistido a la misma universidad y por lo tanto, tuvieron la misma educación superior, la que los hace igual de calificados para este trabajo. Además, desde el punto de vista de los graduados pertenecientes a los grupos discriminados, esta política aumenta sus posibilidades de estudiar en mejores universidades públicas, lo que abre sus fronteras de empleos y da la oportunidad de que ellos participen en mercados laborales que antes estaban reservados para alumnos que habían tenido una educación escolar privada y universitaria buena. Esta forma también muestra como disminuirá la discriminación contra los negros y los pueblos indígenas en el proceso de contratación.",49,1,6.6,6.8,6.2,4.9,6.6,6.5,6.1,87.51879699,87.51879699,1,"df2",287,3
16,10,10,10,30,10,"5","8",7,10,10,"50","80","6,3","Esta cuota de equidad que se aplica en Brasil puede dar incentivos a que las empresas se fijen no únicamente en su educación superior. Esto dado que se sabe que hay gente “más capaz” (medido en que obtuvo mejores puntajes), que quedó fuera de la selección por no entrar en los cupos de equidad o viceversa, gente que obtuvo menores puntajes y entró de todas formas a una universidad más prestigiosa.
Esta falta de discriminación genera que las empresas no se puedan asegurar los trabajadores de mejor calidad en base a la señalización que entrega la institución de educación superior de los postulantes, generando que otros aspectos se vuelvan una señalización relevante a la hora de conseguir trabajo.
Esta señalización poco clara, podría generar una discriminación para quienes estudiaron en universidades prestigiosas, pero son elegibles por esta cuota de equidad (negros, indígenas, otros). Esto se debe a que, a pesar de haber estudiado en una buena universidad, los empleadores pueden desconfiar de la señal y creer que tienen un menor rendimiento que quienes estudiaron en esa universidad y no tenían la opción de haber entrado por esta vía de equidad que les exigía menos puntaje.
Esto puede agravar la discriminación que exista por los negros e indígenas en el mercado laboral, ya que, las empresas preferirán evitar contratarlos para asegurarse de que no hayan entrado por cotas de equidad y sí hayan obtenido un buen rendimiento en la prueba estandarizada (señalización de trabajador bueno).",52,0,6.5,6.4,6.3,4,4.5,5.3,4.9,69.54887218,69.54887218,1,"df1",276,0.5
66,10,5,7,22,10,"5","10",7,10,10,"52","74","5,9","La política implementada busca que jóvenes provenientes de colegios públicos, negros y/o de pueblos indígenas tengan acceso a mejores oportunidades. Es por esto, que al facilitar su acceso a Universidades prestigiosas mejoran sus señales, ya que es posible que sin la política entren a peores Universidades, o que ni siquiera entren. De esta manera, la política implementada es una forma de ""igualar la cancha"" entre los jóvenes. Por lo tanto, cuando los jóvenes egresen de la Universidad, es más probable que las firmas se enfoquen en el título Universitario, que el colegio de egreso. Respecto a la discriminación contra los negros y los pueblos indígenas, en el ámbito laboral debería disminuir, ya que al salir de buenas Universidades envían una señal a las firmas de ser buenos, por lo que estas tendrían incentivos a contratarlos para de esta manera maximizar las ganancias de la empresa.",65,1,7,7,5.9,5.4,6.2,6.25,6.1,87.03007519,87.03007519,1,"df1",165,3.5
6,10,5,7,22,10,"7","10",10,10,10,"57","79","6,3","Con lo mencionado y visto anteriormente, la implementación de políticas de cuotas
en las universidades públicas brasileñas puede tener varios efectos en el
comportamiento elitista por parte de los empleadores y la discriminación en el
proceso de contratación:
1. Reducción del Elitismo en Contrataciones:
La política de cuotas asegura que una mayor diversidad de estudiantes, incluyendo
aquellos de orígenes socioeconómicos menos privilegiados y grupos
históricamente marginados (negros, mulatos, indígenas), tengan acceso a
universidades de alta calidad. Esto podría reducir el énfasis de los empleadores en
la procedencia escolar del candidato, ya que el acceso a la educación superior de
calidad sería más equitativo.
2. Discriminación:
Al aumentar la representación de estos grupos en universidades prestigiosas, la
política de cuotas podría ayudar a disminuir la discriminación en el mercado
laboral. Los empleadores tendrían más probabilidades de evaluar a los candidatos
basándose en sus habilidades y logros académicos en lugar de su origen étnico o
socioeconómico.
3. Cambio de Percepción:
Con el tiempo, la política de cuotas podría cambiar la percepción de los
empleadores sobre las capacidades de los estudiantes de grupos marginados,
reconociendo que tienen las mismas oportunidades de acceder a una educación
de calidad y, por ende, pueden ser igualmente competentes.
4. Equidad en Oportunidades:
Esta política promueve una mayor equidad en las oportunidades educativas y
laborales, contribuyendo a una sociedad más inclusiva y justa.
En resumen, la política de cuotas en Brasil puede desempeñar un papel crucial en
la reducción del comportamiento elitista y la discriminación en el proceso de
contratación, promoviendo una evaluación más justa de los candidatos basada en
sus méritos y logros académicos.",100,1,6.7,6.7,6.3,3.5,5.8,5.8,6.1,75.56390977,75.56390977,1,"df1",327,8
31,10,10,10,30,10,"4,5","10",10,10,10,"54,5","84,5","6,6","Hay dos posibilidades ya que no sabemos si en Brasil al igual que en Chile el colegio del que egresó el candidato es una señal relevante:
• Caso 1: si Brasil, al igual que en Chile elige a los candidatos por el colegio del que egresaron entonces el sistema de cuotas
aumentaría aún más la discriminación, ya que además de no haber salido de un colegio de elite, al tener un puntaje para entrar a la universidad más bajo se podría pensar que son menos capaces que los que entraron con el puntaje de corte de libre competencia, disminuyendo así el valor de su señal de educación superior, agravando la discriminación a negros y pueblos indígenas.
• Caso 2: si Brasil a diferencia de Chile no considera el colegio de egreso como una señal importante a la hora de contratar, pero si el lugar de egreso en educación superior, entonces disminuiría la discriminación ya que el sistema de cuotas le da oportunidades a los que tuvieron menos preparación en el colegio o tienen menos oportunidades en otros ámbitos de poder acceder a una educación superior, aportando así la señal de una buena educación superior a la hora de estar en un proceso de contratación.",100,0,7,6.5,6.6,5.3,6.4,5.75,5.9,84.39849624,84.39849624,1,"df1",224,0.5
1,10,10,7,27,10,"8","10",10,10,10,"58","85","6,7","La política de coras de Brasil ayuda a reducir esta segmentación
para contratar, reduce el elitismo y discriminación a negros e indigenas. Esta política aumenta los grupos de representación de negros e indígenas en
la contratación en instituciones, así ellos pueden mostrar su capacidad y cambiar de a poco la perspectiva y prejuicio elitista de los empleadores.",NA,1,7,6.4,6.7,4.5,5.3,6.1,5.6,79.02255639,79.02255639,0,"df1",63,0
121,10,5,10,25,3,"6","7",7,10,10,"43","68","5,5","La implementación de cuotas de equidad en Brasil puede llevar a que las empresas consideren factores más allá de la educación superior. Esto se debe a que personas con mejores puntajes en exámenes, que no fueron admitidas por no entrar en los cupos de equidad, y personas con menores puntajes que sí ingresaron a universidades prestigiosas, generan una percepción de falta de discriminación. Como resultado, las empresas no pueden asegurar la calidad de los trabajadores basándose únicamente en la institución educativa, lo que hace que otros aspectos se vuelven importantes para la selección laboral. La medida de las cuotas podría estar indirectamente impulsando el comportamiento elitista por parte de los empleadores en Brasil. 
Esta señalización ambigua puede resultar en discriminación hacia aquellos que estudiaron en universidades de prestigio pero que son parte de las cuotas de equidad (afrodescendientes, indígenas, entre otros). A pesar de haber estudiado en una buena universidad, los empleadores pueden desconfiar de sus capacidades, pensando que su ingreso pudo deberse a las cuotas de equidad, que requerían menores puntajes. Esto podría agravar la discriminación existente hacia afrodescendientes e indígenas en el mercado laboral, ya que las empresas preferirán no contratarlos para asegurarse de que no hayan sido admitidos por las cuotas de equidad y que efectivamente tengan un buen rendimiento en las pruebas estandarizadas. Las empresas podrían optar a no contratar a personas que cumplan las características de las determinadas etnias de las cuotas, para evitar el riesgo de sub-calificación, al contratar gente que no pueda ser incluida en dichas cuotas se aseguran al 100% que ingresaron de manera competitiva, lo que podría llevar a que no contratan a los afrodescendientes e indígenas, aumentando la discrimancion por “ahorrarse” ese riesgo. Las empresas prefieren estar 100% seguros de que las capacidades de sus trabajadores son las más altas posibles. ",55,0,6.7,6.1,5.5,4.5,5.1,3.7,4.6,65.18796992,65.18796992,1,"df2",420,3
